    Iter     M1(i)      T1(i)      M2(i)      T2(i)      U1(i)      U2(i)
 248.000   0.767184   0.788129   0.515760   0.784803   0.629608   0.432927
 249.000   0.766676   0.787034   0.514235   0.784025   0.773543   0.766333
 250.000   0.766171   0.785694   0.512712   0.782680   0.305153   0.590769
 251.000   0.765671   0.785151   0.511192   0.781634   0.565799   0.532591
 252.000   0.765172   0.784164   0.509674   0.780686   0.795953   0.311823
 253.000   0.764677   0.782786   0.508159   0.780113   0.354459   0.195372
 254.000   0.764185   0.782158   0.506646   0.779739   0.851864   0.616441
 255.000   0.763697   0.780685   0.505135   0.778649   0.483571   0.611454
 256.000   0.763212   0.779838   0.503626   0.777567   0.535773   0.617849
 257.000   0.762730   0.778902   0.502120   0.776474   0.535109   0.676837
 258.000   0.762251   0.777968   0.500617   0.775281   0.517996   0.894964
 259.000   0.761776   0.777062   0.499116   0.773717   0.274941   0.184639
 260.000   0.761303   0.776570   0.497617   0.773360   0.187758   0.150873
 261.000   0.760833   0.776226   0.496121   0.773061   0.423664   0.458698
 262.000   0.760365   0.775480   0.494626   0.772238   0.392653   0.710804
 263.000   0.759900   0.774788   0.493134   0.770987   0.602317   0.717584
 264.000   0.759437   0.773739   0.491644   0.769724   0.846283   0.878193
 265.000   0.758978   0.772275   0.490157   0.768188   0.253623   0.211099
 266.000   0.758523   0.771819   0.488672   0.767786   0.657013   0.175056
 267.000   0.758070   0.770677   0.487190   0.767445   0.520324   0.524275
 268.000   0.757621   0.769768   0.485709   0.766511   0.788912   0.487883
 269.000   0.757174   0.768402   0.484230   0.765638   0.414765   0.637145
 270.000   0.756731   0.767671   0.482753   0.764512   0.693006   0.516042
 271.000   0.756291   0.766468   0.481279   0.763591   0.378170   0.219998
 272.000   0.755855   0.765800   0.479807   0.763174   0.568874   0.309716
 273.000   0.755421   0.764808   0.478337   0.762604   0.135563   0.703947
 274.000   0.754990   0.764552   0.476868   0.761364   0.294228   0.453922
 275.000   0.754561   0.764027   0.475402   0.760549   0.650237   0.387383
 276.000   0.754135   0.762897   0.473938   0.759846   0.689072   0.415766
 277.000   0.753712   0.761700   0.472476   0.759096   0.646733   0.663238
 278.000   0.753292   0.760575   0.471016   0.757925   0.453844   0.115662
 279.000   0.752876   0.759779   0.469558   0.757684   0.364686   0.439448
 280.000   0.752463   0.759133   0.468102   0.756893   0.316216   0.257643
 281.000   0.752052   0.758571   0.466647   0.756412   0.757377   0.443937
 282.000   0.751643   0.757258   0.465195   0.755613   0.810217   0.412946
 283.000   0.751239   0.755855   0.463744   0.754867   0.715292   0.417433
 284.000   0.750838   0.754614   0.462295   0.754113   0.746811   0.704062
 285.000   0.750440   0.753319   0.460848   0.752873   0.401916   0.272815
 286.000   0.750046   0.752610   0.459404   0.752365   0.732326   0.859443
